MERGE @ lap 1.00: Disabled. Cannot plan merge on first lap. Need valid SS that represent whole dataset.
MERGE @ lap 2.00: Disabled. Waiting for lap >= 5 (--m_startLap).
MERGE @ lap 3.00: Disabled. Waiting for lap >= 5 (--m_startLap).
MERGE @ lap 4.00: Disabled. Waiting for lap >= 5 (--m_startLap).
PLANNING merges at lap 4.20. K=16
   0/16 UIDs ineligible because on shortlist for births. 
   2,    3 : skipped.
   1,    5 : skipped.
Skip eval of uids 3,5 at lap 5.00
   3,    5 : ACCEPTED. changed_loss -2.126e-04   merged_size 126.  
   2,    5 : skipped.
MERGE @ lap 5.00 : 2/33 accepted. Ndiff 99.59. 3 skipped.
PLANNING merges at lap 5.20. K=14
   0/14 UIDs ineligible because on shortlist for births. 
   61/91 pairs eligible. 30 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   7,   49 : pair_score 9.307e+02, size 513. 417.
  13,   49 : pair_score 9.113e+02, size 494. 417.
   4,   49 : pair_score 8.968e+02, size 479. 417.
   7,    9 : pair_score 8.915e+02, size 513. 377.
   9,   13 : pair_score 8.721e+02, size 377. 494.
   4,    9 : pair_score 8.576e+02, size 479. 377.
   7,   50 : pair_score 8.575e+02, size 513. 344.
   6,   49 : pair_score 8.498e+02, size 432. 417.
  13,   50 : pair_score 8.382e+02, size 494. 344.
   4,   50 : pair_score 8.237e+02, size 479. 344.
  10,   49 : pair_score 8.225e+02, size 405. 417.
   7,   14 : pair_score 8.173e+02, size 513. 303.
   6,    9 : pair_score 8.106e+02, size 432. 377.
  13,   14 : pair_score 7.980e+02, size 494. 303.
   4,   14 : pair_score 7.835e+02, size 479. 303.
   9,   10 : pair_score 7.833e+02, size 377. 405.
   6,   50 : pair_score 7.767e+02, size 432. 344.
   0,    7 : pair_score 7.759e+02, size 262. 513.
   0,   13 : pair_score 7.566e+02, size 262. 494.
  10,   50 : pair_score 7.494e+02, size 405. 344.
   0,    4 : pair_score 7.421e+02, size 262. 479.
   6,   14 : pair_score 7.365e+02, size 432. 303.
  10,   14 : pair_score 7.091e+02, size 405. 303.
   0,    6 : pair_score 6.951e+02, size 262. 432.
   0,   10 : pair_score 6.678e+02, size 262. 405.
   1,   11 : pair_score 6.246e+02, size 236. 387.
  11,   15 : pair_score 6.062e+02, size 387. 218.
   3,   11 : pair_score 5.141e+02, size 126. 387.
   1,   15 : pair_score 4.552e+02, size 236. 218.
   1,    3 : pair_score 3.630e+02, size 236. 126.
   3,   15 : pair_score 3.446e+02, size 126. 218.
EVALUATING merges at lap 6.00
   7,   49 : rejected. changed_loss  5.281e-02   merged_size 950.  
  13,   49 : rejected. changed_loss  4.953e-02   merged_size 918.  
   4,   49 : rejected. changed_loss  5.701e-02   merged_size 911.  
   7,    9 : rejected. changed_loss  3.605e-02   merged_size 896.  
   9,   13 : rejected. changed_loss  3.274e-02   merged_size 864.  
   4,    9 : rejected. changed_loss  4.208e-02   merged_size 857.  
   7,   50 : rejected. changed_loss  2.273e-02   merged_size 873.  
   6,   49 : rejected. changed_loss  3.675e-02   merged_size 862.  
  13,   50 : rejected. changed_loss  4.929e-02   merged_size 841.  
   4,   50 : rejected. changed_loss  5.406e-02   merged_size 834.  
  10,   49 : rejected. changed_loss  4.119e-02   merged_size 836.  
   7,   14 : rejected. changed_loss  5.344e-02   merged_size 824.  
   6,    9 : rejected. changed_loss  2.453e-02   merged_size 808.  
  13,   14 : rejected. changed_loss  4.616e-02   merged_size 792.  
   4,   14 : rejected. changed_loss  5.661e-02   merged_size 784.  
   9,   10 : rejected. changed_loss  3.221e-02   merged_size 782.  
   6,   50 : rejected. changed_loss  3.091e-02   merged_size 785.  
   0,    7 : rejected. changed_loss  4.055e-02   merged_size 746.  
   0,   13 : rejected. changed_loss  2.841e-02   merged_size 714.  
  10,   50 : rejected. changed_loss  5.226e-02   merged_size 759.  
   0,    4 : rejected. changed_loss  4.380e-02   merged_size 706.  
   6,   14 : rejected. changed_loss  4.540e-02   merged_size 736.  
  10,   14 : rejected. changed_loss  4.617e-02   merged_size 710.  
   0,    6 : rejected. changed_loss  4.255e-02   merged_size 658.  
   0,   10 : rejected. changed_loss  3.341e-02   merged_size 632.  
   1,   11 : rejected. changed_loss  2.458e-02   merged_size 629.  
  11,   15 : rejected. changed_loss  3.941e-02   merged_size 601.  
   3,   11 : rejected. changed_loss  3.653e-03   merged_size 514.  
   1,   15 : rejected. changed_loss  3.056e-02   merged_size 467.  
   1,    3 : rejected. changed_loss  6.518e-03   merged_size 380.  
   3,   15 : rejected. changed_loss  3.588e-02   merged_size 352.  
MERGE @ lap 6.00 : 0/31 accepted. Ndiff 0.00. 0 skipped.
PLANNING merges at lap 6.20. K=14
   0/14 UIDs ineligible because on shortlist for births. 
   42/91 pairs eligible. 49 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   7,   13 : pair_score 1.005e+03, size 518. 486.
   7,   11 : pair_score 8.999e+02, size 518. 381.
  11,   13 : pair_score 8.680e+02, size 381. 486.
   4,   11 : pair_score 8.605e+02, size 478. 381.
  11,   49 : pair_score 8.139e+02, size 381. 432.
   6,   11 : pair_score 8.118e+02, size 430. 381.
  49,   50 : pair_score 7.877e+02, size 432. 355.
   1,    7 : pair_score 7.659e+02, size 247. 518.
   7,   15 : pair_score 7.378e+02, size 518. 219.
   1,   13 : pair_score 7.341e+02, size 247. 486.
   9,   50 : pair_score 7.339e+02, size 378. 355.
   1,    4 : pair_score 7.265e+02, size 247. 478.
  13,   15 : pair_score 7.060e+02, size 486. 219.
   4,   15 : pair_score 6.984e+02, size 478. 219.
   1,   49 : pair_score 6.800e+02, size 247. 432.
   1,    6 : pair_score 6.779e+02, size 247. 430.
   0,   49 : pair_score 6.603e+02, size 227. 432.
   3,    7 : pair_score 6.516e+02, size 133. 518.
   6,   15 : pair_score 6.498e+02, size 430. 219.
  10,   15 : pair_score 6.237e+02, size 404. 219.
   3,   13 : pair_score 6.197e+02, size 133. 486.
   3,    4 : pair_score 6.122e+02, size 133. 478.
   0,    9 : pair_score 6.064e+02, size 227. 378.
   0,   50 : pair_score 5.833e+02, size 227. 355.
   3,   49 : pair_score 5.656e+02, size 133. 432.
   3,    6 : pair_score 5.635e+02, size 133. 430.
   0,   14 : pair_score 5.337e+02, size 227. 305.
EVALUATING merges at lap 7.00
   7,   13 : rejected. changed_loss  2.829e-02   merged_size 997.  
   7,   11 : rejected. changed_loss  4.132e-02   merged_size 893.  
  11,   13 : rejected. changed_loss  4.049e-02   merged_size 843.  
   4,   11 : rejected. changed_loss  3.992e-02   merged_size 847.  
  11,   49 : rejected. changed_loss  4.370e-02   merged_size 810.  
   6,   11 : rejected. changed_loss  2.942e-02   merged_size 795.  
  49,   50 : rejected. changed_loss  3.569e-02   merged_size 802.  
   1,    7 : rejected. changed_loss  2.557e-02   merged_size 781.  
   7,   15 : rejected. changed_loss  4.338e-02   merged_size 744.  
   1,   13 : rejected. changed_loss  3.152e-02   merged_size 731.  
   9,   50 : rejected. changed_loss  3.406e-02   merged_size 739.  
   1,    4 : rejected. changed_loss  6.255e-02   merged_size 735.  
  13,   15 : rejected. changed_loss  3.769e-02   merged_size 693.  
   4,   15 : rejected. changed_loss  5.348e-02   merged_size 698.  
   1,   49 : rejected. changed_loss  2.305e-02   merged_size 697.  
   1,    6 : rejected. changed_loss  2.071e-02   merged_size 682.  
   0,   49 : rejected. changed_loss  1.764e-02   merged_size 655.  
   3,    7 : rejected. changed_loss  3.763e-02   merged_size 676.  
   6,   15 : rejected. changed_loss  3.330e-02   merged_size 645.  
  10,   15 : rejected. changed_loss  4.518e-02   merged_size 619.  
   3,   13 : rejected. changed_loss  2.892e-02   merged_size 626.  
   3,    4 : rejected. changed_loss  3.275e-02   merged_size 630.  
   0,    9 : rejected. changed_loss  1.950e-02   merged_size 591.  
   0,   50 : rejected. changed_loss  4.074e-02   merged_size 576.  
   3,   49 : rejected. changed_loss  2.734e-02   merged_size 592.  
   3,    6 : rejected. changed_loss  3.373e-02   merged_size 577.  
   0,   14 : rejected. changed_loss  5.192e-02   merged_size 520.  
MERGE @ lap 7.00 : 0/27 accepted. Ndiff 0.00. 0 skipped.
PLANNING merges at lap 7.20. K=14
   0/14 UIDs ineligible because on shortlist for births. 
   43/91 pairs eligible. 48 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   7,   49 : pair_score 9.647e+02, size 523. 440.
   4,   13 : pair_score 9.518e+02, size 477. 473.
   6,    7 : pair_score 9.494e+02, size 425. 523.
   7,   10 : pair_score 9.232e+02, size 523. 399.
   4,   49 : pair_score 9.187e+02, size 477. 440.
  13,   49 : pair_score 9.146e+02, size 473. 440.
   4,    6 : pair_score 9.034e+02, size 477. 425.
   6,   13 : pair_score 8.993e+02, size 425. 473.
   7,   50 : pair_score 8.861e+02, size 523. 362.
   4,   10 : pair_score 8.772e+02, size 477. 399.
  10,   13 : pair_score 8.731e+02, size 399. 473.
   6,   49 : pair_score 8.662e+02, size 425. 440.
   4,   50 : pair_score 8.401e+02, size 477. 362.
  10,   49 : pair_score 8.400e+02, size 399. 440.
  13,   50 : pair_score 8.360e+02, size 473. 362.
   6,   10 : pair_score 8.247e+02, size 425. 399.
   9,   11 : pair_score 7.467e+02, size 377. 369.
   0,    7 : pair_score 7.385e+02, size 214. 523.
  11,   50 : pair_score 7.318e+02, size 369. 362.
  11,   14 : pair_score 6.755e+02, size 369. 305.
   1,    9 : pair_score 6.342e+02, size 257. 377.
   1,   11 : pair_score 6.268e+02, size 257. 369.
   1,   50 : pair_score 6.193e+02, size 257. 362.
   0,   11 : pair_score 5.842e+02, size 214. 369.
   1,   14 : pair_score 5.631e+02, size 257. 305.
   3,    9 : pair_score 5.292e+02, size 152. 377.
   0,    1 : pair_score 4.717e+02, size 214. 257.
   3,   14 : pair_score 4.581e+02, size 152. 305.
   0,   15 : pair_score 4.347e+02, size 214. 220.
   3,   15 : pair_score 3.723e+02, size 152. 220.
   0,    3 : pair_score 3.667e+02, size 214. 152.
EVALUATING merges at lap 8.00
   7,   49 : rejected. changed_loss  5.295e-02   merged_size 981.  
   4,   13 : rejected. changed_loss  5.873e-02   merged_size 932.  
   6,    7 : rejected. changed_loss  4.561e-02   merged_size 956.  
   7,   10 : rejected. changed_loss  5.604e-02   merged_size 930.  
   4,   49 : rejected. changed_loss  5.731e-02   merged_size 923.  
  13,   49 : rejected. changed_loss  4.683e-02   merged_size 900.  
   4,    6 : rejected. changed_loss  5.870e-02   merged_size 898.  
   6,   13 : rejected. changed_loss  5.173e-02   merged_size 876.  
   7,   50 : rejected. changed_loss  2.382e-02   merged_size 905.  
   4,   10 : rejected. changed_loss  3.694e-02   merged_size 872.  
  10,   13 : rejected. changed_loss  3.293e-02   merged_size 850.  
   6,   49 : rejected. changed_loss  3.758e-02   merged_size 866.  
   4,   50 : rejected. changed_loss  5.491e-02   merged_size 846.  
  10,   49 : rejected. changed_loss  4.066e-02   merged_size 840.  
  13,   50 : rejected. changed_loss  4.784e-02   merged_size 824.  
   6,   10 : rejected. changed_loss  4.901e-02   merged_size 815.  
   9,   11 : rejected. changed_loss  1.912e-02   merged_size 734.  
   0,    7 : rejected. changed_loss  3.788e-02   merged_size 746.  
  11,   50 : rejected. changed_loss  4.118e-02   merged_size 728.  
  11,   14 : rejected. changed_loss  4.658e-02   merged_size 664.  
   1,    9 : rejected. changed_loss  1.961e-02   merged_size 637.  
   1,   11 : rejected. changed_loss  2.395e-02   merged_size 619.  
   1,   50 : rejected. changed_loss  2.772e-02   merged_size 630.  
   0,   11 : rejected. changed_loss  2.480e-02   merged_size 568.  
   1,   14 : rejected. changed_loss  3.750e-02   merged_size 566.  
   3,    9 : rejected. changed_loss  1.290e-02   merged_size 544.  
   0,    1 : rejected. changed_loss  4.978e-03   merged_size 471.  
   3,   14 : rejected. changed_loss  4.113e-02   merged_size 473.  
   0,   15 : rejected. changed_loss  4.607e-02   merged_size 431.  
   3,   15 : rejected. changed_loss  3.784e-02   merged_size 388.  
   0,    3 : rejected. changed_loss  2.742e-03   merged_size 378.  
MERGE @ lap 8.00 : 0/31 accepted. Ndiff 0.00. 0 skipped.
PLANNING merges at lap 8.20. K=14
   0/14 UIDs ineligible because on shortlist for births. 
   38/91 pairs eligible. 53 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   7,   13 : pair_score 9.910e+02, size 535. 455.
   7,   11 : pair_score 8.942e+02, size 535. 358.
   4,   11 : pair_score 8.360e+02, size 477. 358.
  49,   50 : pair_score 8.151e+02, size 445. 369.
  11,   13 : pair_score 8.138e+02, size 358. 455.
  11,   49 : pair_score 8.042e+02, size 358. 445.
   1,    7 : pair_score 7.967e+02, size 261. 535.
   6,   50 : pair_score 7.903e+02, size 420. 369.
   6,   11 : pair_score 7.793e+02, size 420. 358.
  10,   50 : pair_score 7.646e+02, size 395. 369.
   9,   50 : pair_score 7.458e+02, size 376. 369.
   1,    4 : pair_score 7.385e+02, size 261. 477.
   1,   13 : pair_score 7.163e+02, size 261. 455.
   1,   49 : pair_score 7.067e+02, size 261. 445.
   3,    7 : pair_score 7.035e+02, size 167. 535.
   0,    4 : pair_score 6.879e+02, size 210. 477.
   1,    6 : pair_score 6.818e+02, size 261. 420.
  15,   49 : pair_score 6.664e+02, size 220. 445.
   0,   13 : pair_score 6.657e+02, size 210. 455.
   0,   49 : pair_score 6.561e+02, size 210. 445.
   3,    4 : pair_score 6.454e+02, size 167. 477.
   0,    6 : pair_score 6.312e+02, size 210. 420.
   3,   13 : pair_score 6.231e+02, size 167. 455.
   0,   10 : pair_score 6.055e+02, size 210. 395.
   9,   15 : pair_score 5.971e+02, size 376. 220.
  15,   50 : pair_score 5.902e+02, size 220. 369.
   3,    6 : pair_score 5.886e+02, size 167. 420.
   3,   10 : pair_score 5.629e+02, size 167. 395.
  14,   15 : pair_score 5.264e+02, size 305. 220.
EVALUATING merges at lap 9.00
   7,   13 : rejected. changed_loss  2.907e-02   merged_size 986.  
   7,   11 : rejected. changed_loss  3.997e-02   merged_size 899.  
   4,   11 : rejected. changed_loss  3.914e-02   merged_size 828.  
  49,   50 : rejected. changed_loss  3.711e-02   merged_size 825.  
  11,   13 : rejected. changed_loss  3.878e-02   merged_size 789.  
  11,   49 : rejected. changed_loss  4.310e-02   merged_size 800.  
   1,    7 : rejected. changed_loss  2.539e-02   merged_size 810.  
   6,   50 : rejected. changed_loss  3.136e-02   merged_size 792.  
   6,   11 : rejected. changed_loss  2.881e-02   merged_size 768.  
  10,   50 : rejected. changed_loss  5.284e-02   merged_size 767.  
   9,   50 : rejected. changed_loss  3.438e-02   merged_size 752.  
   1,    4 : rejected. changed_loss  6.229e-02   merged_size 739.  
   1,   13 : rejected. changed_loss  3.271e-02   merged_size 701.  
   1,   49 : rejected. changed_loss  2.277e-02   merged_size 712.  
   3,    7 : rejected. changed_loss  3.978e-02   merged_size 724.  
   0,    4 : rejected. changed_loss  3.905e-02   merged_size 684.  
   1,    6 : rejected. changed_loss  2.054e-02   merged_size 680.  
  15,   49 : rejected. changed_loss  3.948e-02   merged_size 670.  
   0,   13 : rejected. changed_loss  2.407e-02   merged_size 646.  
   0,   49 : rejected. changed_loss  1.890e-02   merged_size 657.  
   3,    4 : rejected. changed_loss  3.498e-02   merged_size 653.  
   0,    6 : rejected. changed_loss  4.058e-02   merged_size 625.  
   3,   13 : rejected. changed_loss  2.970e-02   merged_size 614.  
   0,   10 : rejected. changed_loss  3.120e-02   merged_size 600.  
   9,   15 : rejected. changed_loss  2.978e-02   merged_size 598.  
  15,   50 : rejected. changed_loss  3.253e-02   merged_size 596.  
   3,    6 : rejected. changed_loss  3.574e-02   merged_size 593.  
   3,   10 : rejected. changed_loss  1.342e-02   merged_size 568.  
  14,   15 : rejected. changed_loss  1.265e-02   merged_size 526.  
MERGE @ lap 9.00 : 0/29 accepted. Ndiff 0.00. 0 skipped.
PLANNING merges at lap 9.20. K=14
   0/14 UIDs ineligible because on shortlist for births. 
   24/91 pairs eligible. 67 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   7,   50 : pair_score 9.232e+02, size 547. 375.
   4,   13 : pair_score 9.153e+02, size 476. 438.
  13,   49 : pair_score 8.878e+02, size 438. 449.
   4,   50 : pair_score 8.524e+02, size 476. 375.
  13,   50 : pair_score 8.138e+02, size 438. 375.
   0,    7 : pair_score 7.557e+02, size 208. 547.
  10,   11 : pair_score 7.436e+02, size 392. 351.
   9,   11 : pair_score 7.284e+02, size 377. 351.
  11,   50 : pair_score 7.269e+02, size 351. 375.
   1,   10 : pair_score 6.552e+02, size 262. 392.
   3,   49 : pair_score 6.260e+02, size 176. 449.
   0,    9 : pair_score 5.851e+02, size 208. 377.
   0,   50 : pair_score 5.835e+02, size 208. 375.
   0,   11 : pair_score 5.594e+02, size 208. 351.
   3,    9 : pair_score 5.535e+02, size 176. 377.
   3,   11 : pair_score 5.279e+02, size 176. 351.
   0,   14 : pair_score 5.133e+02, size 208. 305.
   3,   14 : pair_score 4.817e+02, size 176. 305.
   1,    3 : pair_score 4.395e+02, size 262. 176.
EVALUATING merges at lap 10.00
   7,   50 : rejected. changed_loss  2.513e-02   merged_size 937.  
   4,   13 : rejected. changed_loss  5.555e-02   merged_size 900.  
  13,   49 : rejected. changed_loss  4.419e-02   merged_size 877.  
   4,   50 : rejected. changed_loss  5.551e-02   merged_size 856.  
  13,   50 : rejected. changed_loss  4.662e-02   merged_size 805.  
   0,    7 : rejected. changed_loss  3.694e-02   merged_size 762.  
  10,   11 : rejected. changed_loss  3.157e-02   merged_size 736.  
   9,   11 : rejected. changed_loss  1.923e-02   merged_size 724.  
  11,   50 : rejected. changed_loss  4.078e-02   merged_size 727.  
   1,   10 : rejected. changed_loss  4.383e-02   merged_size 655.  
   3,   49 : rejected. changed_loss  2.938e-02   merged_size 634.  
   0,    9 : rejected. changed_loss  1.917e-02   merged_size 584.  
   0,   50 : rejected. changed_loss  4.106e-02   merged_size 586.  
   0,   11 : rejected. changed_loss  2.439e-02   merged_size 552.  
   3,    9 : rejected. changed_loss  1.358e-02   merged_size 559.  
   3,   11 : rejected. changed_loss  5.226e-03   merged_size 528.  
   0,   14 : rejected. changed_loss  5.275e-02   merged_size 510.  
   3,   14 : rejected. changed_loss  4.169e-02   merged_size 486.  
   1,    3 : rejected. changed_loss  1.067e-02   merged_size 447.  
MERGE @ lap 10.00 : 0/19 accepted. Ndiff 0.00. 0 skipped.
PLANNING merges at lap 10.20. K=14
   0/14 UIDs ineligible because on shortlist for births. 
   51/91 pairs eligible. 40 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   4,    7 : pair_score 1.033e+03, size 476. 556.
   7,   49 : pair_score 1.010e+03, size 556. 452.
   7,   13 : pair_score 9.814e+02, size 556. 424.
   6,    7 : pair_score 9.714e+02, size 414. 556.
   7,   10 : pair_score 9.465e+02, size 556. 389.
   4,   49 : pair_score 9.290e+02, size 476. 452.
   4,    6 : pair_score 8.908e+02, size 476. 414.
   6,   49 : pair_score 8.673e+02, size 414. 452.
   4,   10 : pair_score 8.659e+02, size 476. 389.
  10,   49 : pair_score 8.424e+02, size 389. 452.
   6,   13 : pair_score 8.391e+02, size 414. 424.
  49,   50 : pair_score 8.333e+02, size 452. 380.
   4,   11 : pair_score 8.228e+02, size 476. 346.
  10,   13 : pair_score 8.142e+02, size 389. 424.
   6,   10 : pair_score 8.043e+02, size 414. 389.
  11,   13 : pair_score 7.711e+02, size 346. 424.
   1,   13 : pair_score 6.903e+02, size 265. 424.
  14,   50 : pair_score 6.855e+02, size 304. 380.
   9,   14 : pair_score 6.832e+02, size 378. 304.
   1,   50 : pair_score 6.463e+02, size 265. 380.
   1,    9 : pair_score 6.440e+02, size 265. 378.
   1,   11 : pair_score 6.123e+02, size 265. 346.
   1,   14 : pair_score 5.707e+02, size 265. 304.
  11,   15 : pair_score 5.684e+02, size 346. 221.
   3,   50 : pair_score 5.622e+02, size 181. 380.
   0,   15 : pair_score 4.277e+02, size 205. 221.
   3,   15 : pair_score 4.035e+02, size 181. 221.
   0,    3 : pair_score 3.875e+02, size 205. 181.
EVALUATING merges at lap 11.00
   4,    7 : rejected. changed_loss  6.511e-02   merged_size 1034  
   7,   49 : rejected. changed_loss  5.338e-02   merged_size 1013  
   7,   13 : rejected. changed_loss  2.996e-02   merged_size 977.  
   6,    7 : rejected. changed_loss  4.653e-02   merged_size 971.  
   7,   10 : rejected. changed_loss  5.562e-02   merged_size 946.  
   4,   49 : rejected. changed_loss  5.710e-02   merged_size 930.  
   4,    6 : rejected. changed_loss  5.839e-02   merged_size 888.  
   6,   49 : rejected. changed_loss  3.778e-02   merged_size 867.  
   4,   10 : rejected. changed_loss  3.688e-02   merged_size 863.  
  10,   49 : rejected. changed_loss  3.972e-02   merged_size 842.  
   6,   13 : rejected. changed_loss  4.984e-02   merged_size 831.  
  49,   50 : rejected. changed_loss  3.772e-02   merged_size 839.  
   4,   11 : rejected. changed_loss  3.911e-02   merged_size 818.  
  10,   13 : rejected. changed_loss  3.073e-02   merged_size 806.  
   6,   10 : rejected. changed_loss  4.859e-02   merged_size 800.  
  11,   13 : rejected. changed_loss  3.859e-02   merged_size 761.  
   1,   13 : rejected. changed_loss  3.414e-02   merged_size 685.  
  14,   50 : rejected. changed_loss  4.142e-02   merged_size 689.  
   9,   14 : rejected. changed_loss  3.427e-02   merged_size 683.  
   1,   50 : rejected. changed_loss  2.857e-02   merged_size 651.  
   1,    9 : rejected. changed_loss  1.933e-02   merged_size 646.  
   1,   11 : rejected. changed_loss  2.357e-02   merged_size 610.  
   1,   14 : rejected. changed_loss  3.769e-02   merged_size 571.  
  11,   15 : rejected. changed_loss  3.761e-02   merged_size 565.  
   3,   50 : rejected. changed_loss  4.434e-02   merged_size 570.  
   0,   15 : rejected. changed_loss  4.676e-02   merged_size 427.  
   3,   15 : rejected. changed_loss  3.854e-02   merged_size 407.  
   0,    3 : rejected. changed_loss  4.224e-03   merged_size 390.  
MERGE @ lap 11.00 : 0/28 accepted. Ndiff 0.00. 0 skipped.
PLANNING merges at lap 11.20. K=14
   0/14 UIDs ineligible because on shortlist for births. 
   46/91 pairs eligible. 45 disqualified by past failures.
   Prioritizing elible pairs via ranking procedure: total_size
Chosen uid pairs:
   7,   50 : pair_score 9.437e+02, size 558. 384.
   7,    9 : pair_score 9.380e+02, size 558. 379.
   7,   11 : pair_score 9.017e+02, size 558. 342.
   4,   13 : pair_score 8.942e+02, size 475. 418.
  13,   49 : pair_score 8.733e+02, size 418. 454.
   7,   14 : pair_score 8.635e+02, size 558. 304.
   4,   50 : pair_score 8.604e+02, size 475. 384.
   4,    9 : pair_score 8.547e+02, size 475. 379.
   9,   49 : pair_score 8.337e+02, size 379. 454.
   1,    7 : pair_score 8.261e+02, size 267. 558.
  13,   50 : pair_score 8.034e+02, size 418. 384.
   6,   50 : pair_score 7.977e+02, size 412. 384.
   9,   13 : pair_score 7.977e+02, size 379. 418.
